Name,Rate (MVA),Frequency (Hz),HV (kV),LV (kV),Copper losses (kW),No load losses (kW),No load current (%),V short circuit (%),HV vector group,LV vector group,Phase shift (*30º)
1.25 MVA 20/0.4 kV DTTHIL SGB,1.25,50,20,0.4,7.6,2.2,0.17601,6,D,YN,5
1.25 MVA 20/0.4 kV DTTHL SGB,1.25,50,20,0.4,10.6,2,0.16001,6,D,YN,5
1.25 MVA 20/0.4 kV Dyn0 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,D,YN,0
1.25 MVA 20/0.4 kV Dyn1 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,D,YN,1
1.25 MVA 20/0.4 kV Dyn1 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,D,YN,1
1.25 MVA 20/0.4 kV Dyn11 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,D,YN,11
1.25 MVA 20/0.4 kV Dyn11 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,D,YN,11
1.25 MVA 20/0.4 kV Dyn5 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,D,YN,5
1.25 MVA 20/0.4 kV Dyn7 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,D,YN,7
1.25 MVA 20/0.4 kV Dyn7 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,D,YN,7
1.25 MVA 20/0.4 kV Trafo Union,1.25,50,20,0.4,11,2.75,0.22,6,D,YN,5
1.25 MVA 20/0.4 kV Trafo Union wnr,1.25,50,20,0.4,11.5,2.27,0.1816,6,D,YN,5
1.25 MVA 20/0.4 kV Yyn0 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,Y,YN,0
1.25 MVA 20/0.4 kV Yyn0 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,Y,YN,0
1.25 MVA 20/0.4 kV Yyn6 ASEA,1.25,50,20,0.4,11.5,2.7,0.21601,6,Y,YN,6
1.25 MVA 20/0.4 kV Yyn6 wnr ASEA,1.25,50,20,0.4,11.5,2.08,0.16641,6,Y,YN,6
1.6 MVA 20/0.4 kV 2.42 GEAFOL,1.6,50,20,0.4,13.5,2.42,0.15125,6,D,YN,5
1.6 MVA 20/0.4 kV 3.1 GEAFOL,1.6,50,20,0.4,11.7,3.1,0.19375,6,D,YN,5
1.6 MVA 20/0.4 kV DOTE 1600/20  SGB,1.6,50,20,0.4,17,2.2,0.13751,6,Y,ZN,5
1.6 MVA 20/0.4 kV DOTEL 1600/20  SGB,1.6,50,20,0.4,17,1.6,0.10001,6,Y,ZN,5
1.6 MVA 20/0.4 kV DTTH  SGB,1.6,50,20,0.4,13.3,3.2,0.20001,6,D,YN,5
1.6 MVA 20/0.4 kV DTTHIL SGB,1.6,50,20,0.4,9.4,2.5,0.15626,6,D,YN,5
1.6 MVA 20/0.4 kV DTTHL SGB,1.6,50,20,0.4,13,2.25,0.140635,6,D,YN,5
1.6 MVA 20/0.4 kV Dyn0 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,D,YN,0
1.6 MVA 20/0.4 kV Dyn1 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,D,YN,1
1.6 MVA 20/0.4 kV Dyn1 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,D,YN,1
1.6 MVA 20/0.4 kV Dyn11 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,D,YN,11
1.6 MVA 20/0.4 kV Dyn11 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,D,YN,11
1.6 MVA 20/0.4 kV Dyn5 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,D,YN,5
1.6 MVA 20/0.4 kV Dyn7 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,D,YN,7
1.6 MVA 20/0.4 kV Dyn7 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,D,YN,7
1.6 MVA 20/0.4 kV Trafo Union,1.6,50,20,0.4,12.3,3.1,0.19375,6,D,YN,5
1.6 MVA 20/0.4 kV Trafo Union wnr,1.6,50,20,0.4,12.8,2.55,0.159375,6,D,YN,5
1.6 MVA 20/0.4 kV Yyn0 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,Y,YN,0
1.6 MVA 20/0.4 kV Yyn0 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,Y,YN,0
1.6 MVA 20/0.4 kV Yyn6 ASEA,1.6,50,20,0.4,14,3.1,0.19376,6,Y,YN,6
1.6 MVA 20/0.4 kV Yyn6 wnr ASEA,1.6,50,20,0.4,14,2.4,0.15001,6,Y,YN,6
2 MVA 20/0.4 kV 3 GEAFOL,2,50,20,0.4,15.7,3,0.15,6,D,YN,5
2 MVA 20/0.4 kV 4.5 GEAFOL,2,50,20,0.4,14.2,4.5,0.225,6,D,YN,5
2 MVA 20/0.4 kV DOTE 2000/20  SGB,2,50,20,0.4,21.5,2.9,0.14501,6,Y,ZN,5
2 MVA 20/0.4 kV DOTEL 2000/20  SGB,2,50,20,0.4,21.5,2.1,0.10501,6,Y,ZN,5
2 MVA 20/0.4 kV DTTH  SGB,2,50,20,0.4,16.9,4.3,0.21501,6,D,YN,5
2 MVA 20/0.4 kV DTTHIL SGB,2,50,20,0.4,12.5,3.1,0.15501,6,D,YN,5
2 MVA 20/0.4 kV DTTHL SGB,2,50,20,0.4,16.2,2.95,0.14751,6,D,YN,5
2 MVA 20/0.4 kV Dyn0 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,D,YN,0
2 MVA 20/0.4 kV Dyn1 ASEA,2,50,20,0.4,16.7,4,0.20001,8,D,YN,1
2 MVA 20/0.4 kV Dyn1 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,D,YN,1
2 MVA 20/0.4 kV Dyn11 ASEA,2,50,20,0.4,16.7,4,0.20001,8,D,YN,11
2 MVA 20/0.4 kV Dyn11 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,D,YN,11
2 MVA 20/0.4 kV Dyn5 ASEA,2,50,20,0.4,16.7,4,0.20001,8,D,YN,5
2 MVA 20/0.4 kV Dyn7 ASEA,2,50,20,0.4,16.7,4,0.20001,8,D,YN,7
2 MVA 20/0.4 kV Dyn7 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,D,YN,7
2 MVA 20/0.4 kV Trafo Union,2,50,20,0.4,15,3.65,0.1825,8,D,YN,5
2 MVA 20/0.4 kV Trafo Union wnr,2,50,20,0.4,15.3,3.1,0.155,8,D,YN,5
2 MVA 20/0.4 kV Yyn0 ASEA,2,50,20,0.4,16.7,4,0.20001,8,Y,YN,0
2 MVA 20/0.4 kV Yyn0 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,Y,YN,0
2 MVA 20/0.4 kV Yyn6 ASEA,2,50,20,0.4,16.7,4,0.20001,8,Y,YN,6
2 MVA 20/0.4 kV Yyn6 wnr ASEA,2,50,20,0.4,16.7,3.1,0.15501,8,Y,YN,6
2.5 MVA 20/0.4 kV 3.8 GEAFOL,2.5,50,20,0.4,19.3,3.8,0.152,6,D,YN,5
2.5 MVA 20/0.4 kV 5.3 GEAFOL,2.5,50,20,0.4,17.6,5.3,0.212,6,D,YN,5
2.5 MVA 20/0.4 kV DOTE 2500/20  SGB,2.5,50,20,0.4,25,3.5,0.14001,6,Y,ZN,5
2.5 MVA 20/0.4 kV DOTEL 2500/20  SGB,2.5,50,20,0.4,25,2.5,0.10001,6,Y,ZN,5
2.5 MVA 20/0.4 kV DTTH  SGB,2.5,50,20,0.4,19,4.7,0.18801,6,D,YN,5
2.5 MVA 20/0.4 kV DTTHIL SGB,2.5,50,20,0.4,14,3.75,0.15001,6,D,YN,5
2.5 MVA 20/0.4 kV DTTHL SGB,2.5,50,20,0.4,18.5,3.4,0.13601,6,D,YN,5
2.5 MVA 20/0.4 kV Dyn0 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,D,YN,0
2.5 MVA 20/0.4 kV Dyn1 ASEA,2.5,50,20,0.4,20,5,0.20001,8,D,YN,1
2.5 MVA 20/0.4 kV Dyn1 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,D,YN,1
2.5 MVA 20/0.4 kV Dyn11 ASEA,2.5,50,20,0.4,20,5,0.20001,8,D,YN,11
2.5 MVA 20/0.4 kV Dyn11 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,D,YN,11
2.5 MVA 20/0.4 kV Dyn5 ASEA,2.5,50,20,0.4,20,5,0.20001,8,D,YN,5
2.5 MVA 20/0.4 kV Dyn7 ASEA,2.5,50,20,0.4,20,5,0.20001,8,D,YN,7
2.5 MVA 20/0.4 kV Dyn7 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,D,YN,7
2.5 MVA 20/0.4 kV Trafo Union,2.5,50,20,0.4,17.5,3.95,0.158,8,D,YN,5
2.5 MVA 20/0.4 kV Trafo Union wnr,2.5,50,20,0.4,18,3.35,0.134,8,D,YN,5
2.5 MVA 20/0.4 kV Yyn0 ASEA,2.5,50,20,0.4,20,5,0.20001,8,Y,YN,0
2.5 MVA 20/0.4 kV Yyn0 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,Y,YN,0
2.5 MVA 20/0.4 kV Yyn6 ASEA,2.5,50,20,0.4,20,5,0.20001,8,Y,YN,6
2.5 MVA 20/0.4 kV Yyn6 wnr ASEA,2.5,50,20,0.4,20,3.8,0.15201,8,Y,YN,6
210 MVA 132/15.75 kV,210,50,132,15.75,410,0,0.26,12.5,YN,D,11
25 MVA 20/10 kV,25,50,20,10,102.76,10.96,0.1,10.3,YN,D,5
255 MVA 380/19 kV,255,50,380,19,310,0,0,16,YN,D,0
47 MVA 33/11 kV,47,50,33,11,97,0,0,15,YN,YN,0
50 MVA 139/10.5 kV,50,50,139.3,10.5,188.098,32.745,0.085,10.08,YN,D,5
55 MVA 139/10.5 kV,55,50,139.3,10.5,168.743,31.51,0.078,10.04,YN,D,5
90 MVA 132/33 kV,90,50,132,33,249.876,44.907,0.068,13.18,YN,D,1
TSO@30MVA_A,30,50,400,230,124,13.37,0,11.5,D,D,0
TSO@30MVA_B,30,50,400,230,124,13.6,0,11.5,D,D,0
TSO@80MVA_A,80,50,132,30,210.1,34.5,0,12.9,D,D,0
TSO@80MVA_B,80,50,132,30,208.851,38.172,0,12.781,D,D,0
TSO@80MVA_C,80,50,220,70.9,208.6,32.9,0,13,D,D,0
TSO@80MVA_D,80,50,220,70.9,208.7,33.2,0,13.1,D,D,0
TSO@125MVA_A,125,50,220,66,275.65,52.23,0,13.32,D,D,0
TSO@125MVA_B,125,50,220,66,263.67,52.15,0,13.38,D,D,0
TSO@125MVA_C,125,50,225,70.9,273.21,62.7,0,14.44,D,D,0
TSO@125MVA_D,125,50,400,230,343.188,288.143,0,13.384,D,D,0
TSO@125MVA_E,125,50,230,66,463.77,54.084,0,16.3,D,D,0
TSO@125MVA_F,125,50,400,230,277.68,63.99,0,14.39,D,D,0
TSO@125MVA_G,125,50,400,230,271.43,62,0,14.44,D,D,0
TSO@160MVA_A,160,50,132,66,457.07,64.63,0,14.21,D,D,0
TSO@160MVA_B,160,50,400,230,223.2,39.6,0,9.42,D,D,0
TSO@160MVA_C,160,50,410,230,253.072,35.615,0,9.979,D,D,0
TSO@325MVA,325,50,400,230,669.308,77.372,0,13.28,D,D,0
TSO@350MVA,350,50,132,66,971.45,84.84,0,22.03,D,D,0
TSO@450MVA_A,450,50,400,230,922.067,125.21,0,17.71,D,D,0
TSO@450MVA_B,450,50,400,230,885.37,104.9,0,16.9,D,D,0
TSO@450MVA_C,450,50,400,230,767.416,139.62,0,12.41,D,D,0
TSO@500MVA_A,500,50,225,70.9,856.51,85.1,0,13.37,D,D,0
TSO@500MVA_B,500,50,225,70.9,854.2,84.8,0,13.31,D,D,0
TSO@500MVA_C,500,50,220,68,849.89,85.1,0,13.32,D,D,0
TSO@500MVA_D,500,50,400,230,822.53,86.87,0,13.39,D,D,0
TSO@500MVA_E,500,50,400,230,891.59,85.66,0,13.26,D,D,0
TSO@500MVA_F,500,50,132,66,853.6,85.6,0,13.34,D,D,0
TSO@600MVA_A,600,50,230,66,817.046,214.82,0,11.3,D,D,0
TSO@600MVA_B,600,50,400,138,787.17,245.657,0,11.3,D,D,0
TSO@600MVA_C,600,50,230,68,1195.7,157.8,0,16.08,D,D,0
TSO@600MVA_D,600,50,132,66,825.908,157.99,0,13.8,D,D,0
TSO@600MVA_E,600,50,132,66,824.297,190.99,0,11.3,D,D,0
